StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Did you find this explanation useful?,"From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Rainy or stormy weather with heavy traffic congestion.
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow 
		
		
			No feedback
			Positive feedback*
		
	

 

* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 5 euros for each delivery
			Receive 7,50 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback* 
			No feedbback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

 

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Positive feedback*
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions



Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery.
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback*
			No feedback
		
	

* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Rainy or stormy weather with heavy traffic congestion.
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
		
		
			Positive feedback*
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			No feedback
			Positive feedback*
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			No feedback
			Positive feedback*
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Receive 5 euros for each delivery
			Receive 7,50 euros for each delivery
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
	





Which scenario would you be more likely to make a delivery?","From the scenario options presented below, select the one you are more likely to make a delivery

	
		
			Scenario 1
			Scenario 2
		
		
			.Receive 7,50 euros for each delivery
			Receive 5 euros for each delivery
		
		
			Clear skies and mild weather (sunny or partly cloudy) with light or moderate traffic flow
			Rainy or stormy weather with heavy traffic congestion.
		
		
			Positive feedback* 
			No feedback
		
	



* Positive feedback: Successfully delivery of this package earns you a great reputation among your neighbors/colleagues and recognition for your contribution to reducing CO2 emissions.

Which scenario would you be more likely to make a delivery?",What is your gender?,How old are you?,List of Countries,Which of the following best describes your current living area?,What is your highest level of education?,What best describes your employment status over the last three months?,What is your most frequent mode of transportation?,"This is the end of the survey. Thanks for your support! 
What are the reasons for you to make those answers? Please feel free to leave any comments or suggestions to us:",What is your Prolific ID?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID34""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID32""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID49_TEXT""}"
2023-06-27 00:49:02,2023-06-27 00:51:42,Survey Preview,,100,160,True,2023-06-27 00:51:44,R_3fUfuOKYBx9ZftN,,,,,34.2635,108.9246,preview,EN,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Other,55-64 years old,Antigua and Barbuda,City,Bachelor's degree,A homemaker or stay-at-home parent,Walking,,
2023-06-27 05:41:10,2023-06-27 05:43:53,IP Address,94.63.88.205,100,162,True,2023-06-27 05:43:53,R_2qqiiUIZB7C86i1,,,,,38.731,-9.1373,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,Portugal,City,Bachelor's degree,Working full-time,Walking,,5de78fbbd7b2a0000bc2df59
2023-06-27 05:41:00,2023-06-27 05:44:10,IP Address,146.198.45.107,100,189,True,2023-06-27 05:44:11,R_3FUTMLBYBJ8JME3,,,,,52.4512,-2.1173,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Rural,Bachelor's degree,Working full-time,Car,,5c6ddaefdf677d00013fa313
2023-06-27 05:42:32,2023-06-27 05:44:37,IP Address,163.158.111.63,100,125,True,2023-06-27 05:44:38,R_1pF4y9jkmvjeoBP,,,,,52.3336,6.6439,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,25-34 years old,Netherlands,City,Bachelor's degree,Working full-time,Car,,60216ae272e775127f1ecd1f
2023-06-27 05:41:45,2023-06-27 05:45:19,IP Address,82.26.181.154,100,213,True,2023-06-27 05:45:20,R_32VElPHHT1qpL7w,,,,,51.3295,0.578,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Female,18-24 years old,United Kingdom of Great Britain and Northern Ireland,City,High school diploma or equivalent,Student,"Public transportation (bus, train, subway, etc)",I picked what was most pleasant for me,5df119cae3cc5b012d81f64b
2023-06-27 05:43:34,2023-06-27 05:46:20,IP Address,95.108.58.252,100,166,True,2023-06-27 05:46:21,R_1gzkDAWpa1ZtqQ0,,,,,52.4052,16.9339,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Poland,City,Bachelor's degree,Working part-time,"Public transportation (bus, train, subway, etc)",,5ea9c1f55ce96d106af147a7
2023-06-27 05:42:03,2023-06-27 05:46:38,IP Address,195.238.185.109,100,274,True,2023-06-27 05:46:38,R_1XNLB4xrtHczkWt,,,,,50.0585,19.9342,anonymous,EN,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,25-34 years old,Poland,City,Bachelor's degree,Working full-time,Car,,5bba23a6f2aee50001c88d11
2023-06-27 05:44:18,2023-06-27 05:46:39,IP Address,5.249.81.196,100,141,True,2023-06-27 05:46:40,R_2q90HyjPerSN69q,,,,,41.1691,-8.6793,anonymous,EN,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 1,Scenario 1,Scenario 2,Scenario 1,Scenario 1,Male,18-24 years old,Portugal,City,Master's degree,Student,"Public transportation (bus, train, subway, etc)",,612ccc537fd00ae8b3e8b95f
